record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,Agra,buy,Laramda,Apartment,"₹2,366","₹2,205","₹2,687",3,https://housing.com/in/buy/agra/laramda-gid/,yes,2687,2366,2446,2301,"[[""Apr'25-Jun'25"", 2687], [""July'25-Sept'25"", 2446], [""Oct'25-Dec'25"", 2301], [""Jan'26-Mar'26"", 2366]]"
locality,Agra,buy,Jaipur House Colony,Apartment,"₹5,263","₹3,096","₹7,211",3,https://housing.com/in/buy/agra/jaipur-house-colony-gid/,yes,6034,5263,5066,4783,"[[""Apr'25-Jun'25"", 6034], [""July'25-Sept'25"", 5066], [""Oct'25-Dec'25"", 4783], [""Jan'26-Mar'26"", 5263]]"
locality,Agra,buy,Kundol,Apartment,"₹2,868","₹2,776","₹3,052",3,https://housing.com/in/buy/agra/kundol-gid/,yes,2805,2868,2808,2795,"[[""Apr'25-Jun'25"", 2805], [""July'25-Sept'25"", 2808], [""Oct'25-Dec'25"", 2795], [""Jan'26-Mar'26"", 2868]]"
locality,Agra,buy,Khandari,Apartment,"₹6,047","₹4,782","₹7,708",3,https://housing.com/in/buy/agra/khandari-gid/,yes,6567,6047,6486,7273,"[[""Apr'25-Jun'25"", 6567], [""July'25-Sept'25"", 6486], [""Oct'25-Dec'25"", 7273], [""Jan'26-Mar'26"", 6047]]"
locality,Agra,buy,Sikandra,Independent House,"₹6,313",₹902,"₹16,666",41,https://housing.com/in/buy/agra/sikandra-gid/,yes,5357,6313,5997,5997,"[[""Apr'25-Jun'25"", 5357], [""July'25-Sept'25"", 5997], [""Oct'25-Dec'25"", 5997], [""Jan'26-Mar'26"", 6313]]"
locality,Agra,buy,Shahganj,Independent House,"₹6,002","₹2,833","₹12,149",20,https://housing.com/in/buy/agra/shahganj-gid/,yes,5186,6002,5357,4860,"[[""Apr'25-Jun'25"", 5186], [""July'25-Sept'25"", 5357], [""Oct'25-Dec'25"", 4860], [""Jan'26-Mar'26"", 6002]]"
locality,Agra,buy,Rohta,Independent House,"₹4,131","₹3,111","₹6,250",17,https://housing.com/in/buy/agra/rohta-gid/,yes,3313,4131,3681,3699,"[[""Apr'25-Jun'25"", 3313], [""July'25-Sept'25"", 3681], [""Oct'25-Dec'25"", 3699], [""Jan'26-Mar'26"", 4131]]"
locality,Agra,buy,Sewla Jatt,Independent House,"₹4,622","₹2,723","₹6,300",15,https://housing.com/in/buy/agra/sewla-jatt-gid/,yes,3351,4622,3811,5086,"[[""Apr'25-Jun'25"", 3351], [""July'25-Sept'25"", 3811], [""Oct'25-Dec'25"", 5086], [""Jan'26-Mar'26"", 4622]]"
locality,Agra,buy,Shastripuram,Independent House,"₹7,305","₹1,681","₹13,117",13,https://housing.com/in/buy/agra/shastripuram-gid/,yes,6358,7305,5889,7802,"[[""Apr'25-Jun'25"", 6358], [""July'25-Sept'25"", 5889], [""Oct'25-Dec'25"", 7802], [""Jan'26-Mar'26"", 7305]]"
locality,Agra,buy,Mohammadpur,Independent House,"₹6,821","₹1,681","₹11,428",12,https://housing.com/in/buy/agra/mohammadpur-gid/,yes,6358,6821,5889,6807,"[[""Apr'25-Jun'25"", 6358], [""July'25-Sept'25"", 5889], [""Oct'25-Dec'25"", 6807], [""Jan'26-Mar'26"", 6821]]"
locality,Agra,buy,Tajganj,Independent House,"₹5,740",₹904,"₹12,000",12,https://housing.com/in/buy/agra/tajganj-gid/,yes,6002,5740,6690,7047,"[[""Apr'25-Jun'25"", 6002], [""July'25-Sept'25"", 6690], [""Oct'25-Dec'25"", 7047], [""Jan'26-Mar'26"", 5740]]"
locality,Agra,buy,Dayal Bagh,Independent House,"₹7,475","₹1,750","₹15,000",12,https://housing.com/in/buy/agra/dayal-bagh-gid/,yes,14553,7475,13363,8483,"[[""Apr'25-Jun'25"", 14553], [""July'25-Sept'25"", 13363], [""Oct'25-Dec'25"", 8483], [""Jan'26-Mar'26"", 7475]]"
locality,Agra,buy,Madhu Nagar,Independent House,"₹3,042","₹1,700","₹6,200",11,https://housing.com/in/buy/agra/madhu-nagar-gid/,no,,,,,null
locality,Agra,buy,Itaura,Independent House,"₹4,282","₹3,500","₹4,998",9,https://housing.com/in/buy/agra/itaura-gid/,yes,3717,4282,3657,4069,"[[""Apr'25-Jun'25"", 3717], [""July'25-Sept'25"", 3657], [""Oct'25-Dec'25"", 4069], [""Jan'26-Mar'26"", 4282]]"
locality,Agra,buy,Lohamandi,Independent House,"₹23,526","₹1,989",₹1 Lakh,8,https://housing.com/in/buy/agra/lohamandi-gid/,no,,,,,null
locality,Agra,buy,Kamla Nagar,Independent House,"₹8,563","₹4,583","₹11,884",7,https://housing.com/in/buy/agra/kamla-nagar-gid/,yes,,8563,9795,8900,"[[""July'25-Sept'25"", 9795], [""Oct'25-Dec'25"", 8900], [""Jan'26-Mar'26"", 8563]]"
locality,Agra,buy,Bichpuri,Independent House,"₹3,342","₹2,393","₹4,740",6,https://housing.com/in/buy/agra/bichpuri-gid/,yes,3452,3342,3518,3623,"[[""Apr'25-Jun'25"", 3452], [""July'25-Sept'25"", 3518], [""Oct'25-Dec'25"", 3623], [""Jan'26-Mar'26"", 3342]]"
locality,Agra,buy,Bajrang Nagar,Independent House,"₹4,773","₹2,608","₹7,070",6,https://housing.com/in/buy/agra/bajrang-nagar-gid/,yes,3672,4773,3611,4310,"[[""Apr'25-Jun'25"", 3672], [""July'25-Sept'25"", 3611], [""Oct'25-Dec'25"", 4310], [""Jan'26-Mar'26"", 4773]]"
locality,Agra,buy,Kalindi Vihar,Independent House,"₹7,864","₹1,714","₹26,333",6,https://housing.com/in/buy/agra/kalindi-vihar-gid/,yes,,7864,7188,6434,"[[""July'25-Sept'25"", 7188], [""Oct'25-Dec'25"", 6434], [""Jan'26-Mar'26"", 7864]]"
