record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,New Delhi,buy,Sector 20 Rohini,Independent House,"₹2,246",₹486,"₹4,888",2,https://housing.com/in/buy/new-delhi/sector-20-rohini-gid/,yes,,2246,4739,2992,"[[""July'25-Sept'25"", 4739], [""Oct'25-Dec'25"", 2992], [""Jan'26-Mar'26"", 2246]]"
locality,New Delhi,buy,Ashok Nagar,Independent House,"₹18,883","₹2,238","₹40,476",2,https://housing.com/in/buy/new-delhi/ashok-nagar-gid/,yes,,18883,16556,20416,"[[""July'25-Sept'25"", 16556], [""Oct'25-Dec'25"", 20416], [""Jan'26-Mar'26"", 18883]]"
locality,New Delhi,buy,Gharoli,Independent House,"₹3,846","₹1,041","₹5,500",2,https://housing.com/in/buy/new-delhi/gharoli-gid/,yes,6373,3846,7051,5710,"[[""Apr'25-Jun'25"", 6373], [""July'25-Sept'25"", 7051], [""Oct'25-Dec'25"", 5710], [""Jan'26-Mar'26"", 3846]]"
locality,New Delhi,buy,Pandav Nagar,Independent House,"₹21,858","₹8,024","₹32,000",2,https://housing.com/in/buy/new-delhi/pandav-nagar-gid/,yes,,21858,,21854,"[[""Oct'25-Dec'25"", 21854], [""Jan'26-Mar'26"", 21858]]"
locality,New Delhi,buy,Lajpat Nagar,Independent House,"₹16,614","₹16,666","₹20,833",2,https://housing.com/in/buy/new-delhi/lajpat-nagar-gid/,yes,17921,16614,18473,16875,"[[""Apr'25-Jun'25"", 17921], [""July'25-Sept'25"", 18473], [""Oct'25-Dec'25"", 16875], [""Jan'26-Mar'26"", 16614]]"
locality,New Delhi,buy,Sector 21 Rohini,Independent House,"₹10,875","₹10,638","₹14,328",2,https://housing.com/in/buy/new-delhi/sector-21-rohini-gid/,yes,12547,10875,13613,11435,"[[""Apr'25-Jun'25"", 12547], [""July'25-Sept'25"", 13613], [""Oct'25-Dec'25"", 11435], [""Jan'26-Mar'26"", 10875]]"
locality,New Delhi,buy,Sagar Pur,Apartment,"₹6,462","₹4,214","₹12,012",4,https://housing.com/in/buy/new-delhi/sagar-pur-gid/,yes,5902,6462,5109,5259,"[[""Apr'25-Jun'25"", 5902], [""July'25-Sept'25"", 5109], [""Oct'25-Dec'25"", 5259], [""Jan'26-Mar'26"", 6462]]"
locality,New Delhi,buy,Sector 8 Dwarka,Apartment,"₹13,124","₹10,000","₹15,789",4,https://housing.com/in/buy/new-delhi/sector-8-dwarka-gid/,yes,11045,13124,12105,11385,"[[""Apr'25-Jun'25"", 11045], [""July'25-Sept'25"", 12105], [""Oct'25-Dec'25"", 11385], [""Jan'26-Mar'26"", 13124]]"
locality,New Delhi,buy,Vinod Nagar North,Apartment,"₹7,805","₹4,629","₹14,000",4,https://housing.com/in/buy/new-delhi/vinod-nagar-north-gid/,yes,,7805,,7254,"[[""Oct'25-Dec'25"", 7254], [""Jan'26-Mar'26"", 7805]]"
locality,New Delhi,buy,Chittaranjan Park,Apartment,"₹21,178","₹16,521","₹23,529",4,https://housing.com/in/buy/new-delhi/chittaranjan-park-gid/,yes,17006,21178,15891,21431,"[[""Apr'25-Jun'25"", 17006], [""July'25-Sept'25"", 15891], [""Oct'25-Dec'25"", 21431], [""Jan'26-Mar'26"", 21178]]"
locality,New Delhi,buy,Jhilmil Colony,Apartment,"₹13,138","₹9,000","₹18,000",4,https://housing.com/in/buy/new-delhi/jhilmil-colony-gid/,yes,14077,13138,13631,13153,"[[""Apr'25-Jun'25"", 14077], [""July'25-Sept'25"", 13631], [""Oct'25-Dec'25"", 13153], [""Jan'26-Mar'26"", 13138]]"
locality,New Delhi,buy,Sector 32 Rohini,Apartment,"₹14,279","₹13,500","₹15,000",4,https://housing.com/in/buy/new-delhi/sector-32-rohini-gid/,yes,,14279,13050,14033,"[[""July'25-Sept'25"", 13050], [""Oct'25-Dec'25"", 14033], [""Jan'26-Mar'26"", 14279]]"
locality,New Delhi,buy,Anand Vihar,Apartment,"₹16,280","₹2,700","₹31,866",4,https://housing.com/in/buy/new-delhi/anand-vihar-gid/,yes,11276,16280,8967,12486,"[[""Apr'25-Jun'25"", 11276], [""July'25-Sept'25"", 8967], [""Oct'25-Dec'25"", 12486], [""Jan'26-Mar'26"", 16280]]"
locality,New Delhi,buy,Sector 29 Rohini,Apartment,"₹12,267","₹11,666","₹13,888",4,https://housing.com/in/buy/new-delhi/sector-29-rohini-gid/,yes,11274,12267,11215,11963,"[[""Apr'25-Jun'25"", 11274], [""July'25-Sept'25"", 11215], [""Oct'25-Dec'25"", 11963], [""Jan'26-Mar'26"", 12267]]"
locality,New Delhi,buy,Manglapuri,Apartment,"₹5,487","₹2,692","₹7,623",4,https://housing.com/in/buy/new-delhi/manglapuri-gid/,yes,6031,5487,5812,6468,"[[""Apr'25-Jun'25"", 6031], [""July'25-Sept'25"", 5812], [""Oct'25-Dec'25"", 6468], [""Jan'26-Mar'26"", 5487]]"
locality,New Delhi,buy,Mundka,Apartment,"₹4,283","₹3,526","₹5,438",4,https://housing.com/in/buy/new-delhi/mundka-gid/,yes,4604,4283,4045,4396,"[[""Apr'25-Jun'25"", 4604], [""July'25-Sept'25"", 4045], [""Oct'25-Dec'25"", 4396], [""Jan'26-Mar'26"", 4283]]"
locality,New Delhi,buy,Shadipur,Apartment,"₹35,769","₹33,174","₹40,929",4,https://housing.com/in/buy/new-delhi/shadipur-gid/,yes,22884,35769,21604,26055,"[[""Apr'25-Jun'25"", 22884], [""July'25-Sept'25"", 21604], [""Oct'25-Dec'25"", 26055], [""Jan'26-Mar'26"", 35769]]"
locality,New Delhi,buy,Khirki Extension,Apartment,"₹8,195","₹4,000","₹13,084",4,https://housing.com/in/buy/new-delhi/khirki-extension-gid/,yes,7838,8195,7799,7139,"[[""Apr'25-Jun'25"", 7838], [""July'25-Sept'25"", 7799], [""Oct'25-Dec'25"", 7139], [""Jan'26-Mar'26"", 8195]]"
locality,New Delhi,buy,Wazirabad,Apartment,"₹5,641","₹2,000","₹11,282",4,https://housing.com/in/buy/new-delhi/wazirabad-gid/,yes,6666,5641,5187,4873,"[[""Apr'25-Jun'25"", 6666], [""July'25-Sept'25"", 5187], [""Oct'25-Dec'25"", 4873], [""Jan'26-Mar'26"", 5641]]"
locality,New Delhi,buy,Lajpat Nagar,Apartment,"₹19,039","₹9,444","₹35,714",4,https://housing.com/in/buy/new-delhi/lajpat-nagar-gid/,no,,,,,null
locality,New Delhi,buy,Dera Mandi,Apartment,"₹4,306","₹3,332","₹4,705",4,https://housing.com/in/buy/new-delhi/dera-mandi-gid/,yes,5993,4306,4724,4601,"[[""Apr'25-Jun'25"", 5993], [""July'25-Sept'25"", 4724], [""Oct'25-Dec'25"", 4601], [""Jan'26-Mar'26"", 4306]]"
locality,New Delhi,buy,Vinod Nagar West,Apartment,"₹13,739","₹12,692","₹15,517",4,https://housing.com/in/buy/new-delhi/vinod-nagar-west-gid/,yes,10650,13739,12766,13825,"[[""Apr'25-Jun'25"", 10650], [""July'25-Sept'25"", 12766], [""Oct'25-Dec'25"", 13825], [""Jan'26-Mar'26"", 13739]]"
locality,New Delhi,buy,Kalu Sarai,Apartment,"₹23,421","₹17,391","₹33,798",4,https://housing.com/in/buy/new-delhi/kalu-sarai-gid/,no,,,,,null
locality,New Delhi,buy,Jasola,Apartment,"₹11,512","₹3,636","₹20,839",4,https://housing.com/in/buy/new-delhi/jasola-gid/,yes,14546,11512,14800,16509,"[[""Apr'25-Jun'25"", 14546], [""July'25-Sept'25"", 14800], [""Oct'25-Dec'25"", 16509], [""Jan'26-Mar'26"", 11512]]"
locality,New Delhi,buy,Budh Vihar,Apartment,"₹2,716","₹1,150","₹3,600",3,https://housing.com/in/buy/new-delhi/budh-vihar-gid/,yes,4075,2716,4452,3256,"[[""Apr'25-Jun'25"", 4075], [""July'25-Sept'25"", 4452], [""Oct'25-Dec'25"", 3256], [""Jan'26-Mar'26"", 2716]]"
locality,New Delhi,buy,New Friends Colony,Apartment,"₹21,025","₹19,772","₹21,875",3,https://housing.com/in/buy/new-delhi/new-friends-colony-gid/,yes,23777,21025,20731,22662,"[[""Apr'25-Jun'25"", 23777], [""July'25-Sept'25"", 20731], [""Oct'25-Dec'25"", 22662], [""Jan'26-Mar'26"", 21025]]"
locality,New Delhi,buy,Shadipur,Independent House,"₹14,367","₹7,901","₹20,833",2,https://housing.com/in/buy/new-delhi/shadipur-gid/,yes,13775,14367,12265,12911,"[[""Apr'25-Jun'25"", 13775], [""July'25-Sept'25"", 12265], [""Oct'25-Dec'25"", 12911], [""Jan'26-Mar'26"", 14367]]"
locality,New Delhi,buy,Bawana,Independent House,"₹4,444","₹3,888","₹5,000",2,https://housing.com/in/buy/new-delhi/bawana-gid/,no,,,,,null
locality,New Delhi,buy,Sector 8 Rohini,Independent House,"₹48,244","₹8,000",₹1 Lakh,2,https://housing.com/in/buy/new-delhi/sector-8-rohini-gid/,no,,,,,null
locality,New Delhi,buy,Krishan Vihar,Independent House,"₹11,113","₹7,111","₹14,005",2,https://housing.com/in/buy/new-delhi/krishan-vihar-gid/,yes,12114,11113,11001,11223,"[[""Apr'25-Jun'25"", 12114], [""July'25-Sept'25"", 11001], [""Oct'25-Dec'25"", 11223], [""Jan'26-Mar'26"", 11113]]"
locality,New Delhi,buy,Mundka,Independent House,"₹8,560","₹5,555","₹9,482",2,https://housing.com/in/buy/new-delhi/mundka-gid/,yes,10564,8560,11069,9256,"[[""Apr'25-Jun'25"", 10564], [""July'25-Sept'25"", 11069], [""Oct'25-Dec'25"", 9256], [""Jan'26-Mar'26"", 8560]]"
locality,New Delhi,buy,Rangpuri,Independent House,"₹12,810","₹12,962","₹14,814",2,https://housing.com/in/buy/new-delhi/rangpuri-gid/,yes,12110,12810,10906,11194,"[[""Apr'25-Jun'25"", 12110], [""July'25-Sept'25"", 10906], [""Oct'25-Dec'25"", 11194], [""Jan'26-Mar'26"", 12810]]"
locality,New Delhi,buy,Paharganj,Independent House,"₹28,465","₹12,790","₹22,875",2,https://housing.com/in/buy/new-delhi/paharganj-gid/,yes,,28465,44652,39099,"[[""July'25-Sept'25"", 44652], [""Oct'25-Dec'25"", 39099], [""Jan'26-Mar'26"", 28465]]"
locality,New Delhi,buy,Model Town,Independent House,"₹27,856","₹21,650","₹59,232",2,https://housing.com/in/buy/new-delhi/model-town-gid/,yes,37490,27856,29228,24359,"[[""Apr'25-Jun'25"", 37490], [""July'25-Sept'25"", 29228], [""Oct'25-Dec'25"", 24359], [""Jan'26-Mar'26"", 27856]]"
locality,New Delhi,buy,Kirti Nagar,Independent House,"₹22,177","₹12,222","₹15,740",2,https://housing.com/in/buy/new-delhi/kirti-nagar-gid/,yes,24216,22177,27177,26861,"[[""Apr'25-Jun'25"", 24216], [""July'25-Sept'25"", 27177], [""Oct'25-Dec'25"", 26861], [""Jan'26-Mar'26"", 22177]]"
locality,New Delhi,buy,Mansarover Garden,Independent House,"₹22,232","₹10,000","₹15,000",2,https://housing.com/in/buy/new-delhi/mansarover-garden-gid/,yes,28126,22232,38786,35226,"[[""Apr'25-Jun'25"", 28126], [""July'25-Sept'25"", 38786], [""Oct'25-Dec'25"", 35226], [""Jan'26-Mar'26"", 22232]]"
locality,New Delhi,buy,Shakurpur,Independent House,"₹13,162","₹6,666","₹7,500",2,https://housing.com/in/buy/new-delhi/shakurpur-gid/,yes,,13162,16402,15865,"[[""July'25-Sept'25"", 16402], [""Oct'25-Dec'25"", 15865], [""Jan'26-Mar'26"", 13162]]"
locality,New Delhi,buy,Sector 16A Dwarka,Independent House,"₹14,664","₹13,774","₹15,555",2,https://housing.com/in/buy/new-delhi/sector-16a-dwarka-gid/,yes,12318,14664,10700,12426,"[[""Apr'25-Jun'25"", 12318], [""July'25-Sept'25"", 10700], [""Oct'25-Dec'25"", 12426], [""Jan'26-Mar'26"", 14664]]"
locality,New Delhi,buy,South Extension I,Independent House,"₹20,172","₹12,692","₹14,492",2,https://housing.com/in/buy/new-delhi/south-extension-i-gid/,yes,,20172,,26752,"[[""Oct'25-Dec'25"", 26752], [""Jan'26-Mar'26"", 20172]]"
locality,New Delhi,buy,Central Ridge Reserve Forest,Independent House,"₹31,406","₹9,565","₹53,248",2,https://housing.com/in/buy/new-delhi/central-ridge-reserve-forest-gid/,yes,,31406,24557,27981,"[[""July'25-Sept'25"", 24557], [""Oct'25-Dec'25"", 27981], [""Jan'26-Mar'26"", 31406]]"
locality,New Delhi,buy,Babarpur,Independent House,"₹31,942","₹22,893","₹36,549",2,https://housing.com/in/buy/new-delhi/babarpur-gid/,yes,,31942,,33423,"[[""Oct'25-Dec'25"", 33423], [""Jan'26-Mar'26"", 31942]]"
locality,New Delhi,buy,Sector 14 Dwarka,Independent House,"₹8,968","₹5,185","₹12,000",2,https://housing.com/in/buy/new-delhi/sector-14-dwarka-gid/,yes,6325,8968,8341,9470,"[[""Apr'25-Jun'25"", 6325], [""July'25-Sept'25"", 8341], [""Oct'25-Dec'25"", 9470], [""Jan'26-Mar'26"", 8968]]"
locality,New Delhi,buy,Paprawat,Independent House,"₹12,479","₹8,888","₹16,071",2,https://housing.com/in/buy/new-delhi/paprawat-gid/,yes,,12479,,11562,"[[""Oct'25-Dec'25"", 11562], [""Jan'26-Mar'26"", 12479]]"
locality,New Delhi,buy,Bakkarwala,Independent House,"₹4,466","₹3,333","₹5,600",2,https://housing.com/in/buy/new-delhi/bakkarwala-gid/,no,,,,,null
locality,New Delhi,buy,Karol Bagh,Independent House,"₹36,865","₹23,391","₹30,000",2,https://housing.com/in/buy/new-delhi/karol-bagh-gid/,yes,36330,36865,33692,39726,"[[""Apr'25-Jun'25"", 36330], [""July'25-Sept'25"", 33692], [""Oct'25-Dec'25"", 39726], [""Jan'26-Mar'26"", 36865]]"
locality,New Delhi,buy,Dashrath Puri,Independent House,"₹20,035","₹13,793","₹26,851",2,https://housing.com/in/buy/new-delhi/dashrath-puri-gid/,yes,,20035,,19605,"[[""Oct'25-Dec'25"", 19605], [""Jan'26-Mar'26"", 20035]]"
locality,New Delhi,buy,Masoodpur,Apartment,"₹24,765","₹22,727","₹28,235",3,https://housing.com/in/buy/new-delhi/masoodpur-gid/,yes,19336,24765,18649,18623,"[[""Apr'25-Jun'25"", 19336], [""July'25-Sept'25"", 18649], [""Oct'25-Dec'25"", 18623], [""Jan'26-Mar'26"", 24765]]"
locality,New Delhi,buy,Sukhdev Vihar,Apartment,"₹21,916","₹18,750","₹25,000",3,https://housing.com/in/buy/new-delhi/sukhdev-vihar-gid/,yes,14817,21916,15390,18404,"[[""Apr'25-Jun'25"", 14817], [""July'25-Sept'25"", 15390], [""Oct'25-Dec'25"", 18404], [""Jan'26-Mar'26"", 21916]]"
locality,New Delhi,buy,Asola,Apartment,"₹3,865","₹3,157","₹4,400",3,https://housing.com/in/buy/new-delhi/asola-gid/,yes,3128,3865,3118,3558,"[[""Apr'25-Jun'25"", 3128], [""July'25-Sept'25"", 3118], [""Oct'25-Dec'25"", 3558], [""Jan'26-Mar'26"", 3865]]"
locality,New Delhi,buy,Nilothi,Apartment,"₹6,199","₹2,182","₹14,000",3,https://housing.com/in/buy/new-delhi/nilothi-gid/,yes,,6199,,6813,"[[""Oct'25-Dec'25"", 6813], [""Jan'26-Mar'26"", 6199]]"
locality,New Delhi,buy,Sector 20 Rohini,Apartment,"₹8,109","₹5,925","₹10,775",3,https://housing.com/in/buy/new-delhi/sector-20-rohini-gid/,yes,8939,8109,8155,7501,"[[""Apr'25-Jun'25"", 8939], [""July'25-Sept'25"", 8155], [""Oct'25-Dec'25"", 7501], [""Jan'26-Mar'26"", 8109]]"
locality,New Delhi,buy,Aravalli Biodiversity Park,Apartment,"₹9,504","₹8,974","₹9,782",3,https://housing.com/in/buy/new-delhi/aravalli-biodiversity-park-gid/,no,,,,,null
locality,New Delhi,buy,Juanapur,Apartment,"₹5,077","₹2,361","₹6,800",3,https://housing.com/in/buy/new-delhi/juanapur-gid/,no,,,,,null
locality,New Delhi,buy,Chandni Chowk,Apartment,"₹5,149","₹3,588","₹6,908",3,https://housing.com/in/buy/new-delhi/chandni-chowk-gid/,yes,5879,5149,5316,5091,"[[""Apr'25-Jun'25"", 5879], [""July'25-Sept'25"", 5316], [""Oct'25-Dec'25"", 5091], [""Jan'26-Mar'26"", 5149]]"
locality,New Delhi,buy,Madhu Vihar,Apartment,"₹6,811","₹6,512","₹6,979",3,https://housing.com/in/buy/new-delhi/madhu-vihar-gid/,yes,6168,6811,6454,6198,"[[""Apr'25-Jun'25"", 6168], [""July'25-Sept'25"", 6454], [""Oct'25-Dec'25"", 6198], [""Jan'26-Mar'26"", 6811]]"
locality,New Delhi,buy,Shastri Nagar,Apartment,"₹12,264","₹9,629","₹14,509",3,https://housing.com/in/buy/new-delhi/shastri-nagar-gid/,yes,9586,12264,9165,9191,"[[""Apr'25-Jun'25"", 9586], [""July'25-Sept'25"", 9165], [""Oct'25-Dec'25"", 9191], [""Jan'26-Mar'26"", 12264]]"
locality,New Delhi,buy,Adarsh Nagar,Apartment,"₹10,804","₹5,000","₹15,746",3,https://housing.com/in/buy/new-delhi/adarsh-nagar-gid/,yes,6978,10804,7992,9385,"[[""Apr'25-Jun'25"", 6978], [""July'25-Sept'25"", 7992], [""Oct'25-Dec'25"", 9385], [""Jan'26-Mar'26"", 10804]]"
locality,New Delhi,buy,Sector 16A Dwarka,Apartment,"₹10,263","₹5,900","₹17,391",3,https://housing.com/in/buy/new-delhi/sector-16a-dwarka-gid/,no,,,,,null
locality,New Delhi,buy,Gujranwala Town,Apartment,"₹14,179","₹13,200","₹15,339",3,https://housing.com/in/buy/new-delhi/gujranwala-town-gid/,no,,,,,null
locality,New Delhi,buy,Sector 16 Rohini,Apartment,"₹10,960","₹8,641","₹15,151",3,https://housing.com/in/buy/new-delhi/sector-16-rohini-gid/,yes,10277,10960,9786,8835,"[[""Apr'25-Jun'25"", 10277], [""July'25-Sept'25"", 9786], [""Oct'25-Dec'25"", 8835], [""Jan'26-Mar'26"", 10960]]"
locality,New Delhi,buy,Babarpur,Apartment,"₹8,830","₹3,968","₹16,176",3,https://housing.com/in/buy/new-delhi/babarpur-gid/,no,,,,,null
locality,New Delhi,buy,Jhandewalan,Apartment,"₹34,882","₹14,582","₹45,043",3,https://housing.com/in/buy/new-delhi/jhandewalan-gid/,yes,,34882,,51379,"[[""Oct'25-Dec'25"", 51379], [""Jan'26-Mar'26"", 34882]]"
locality,New Delhi,buy,Krishna Nagar,Apartment,"₹7,072","₹6,472","₹8,080",3,https://housing.com/in/buy/new-delhi/krishna-nagar-gid/,yes,,7072,13280,8610,"[[""July'25-Sept'25"", 13280], [""Oct'25-Dec'25"", 8610], [""Jan'26-Mar'26"", 7072]]"
locality,New Delhi,buy,Bharthal,Apartment,"₹9,367","₹7,885","₹10,454",3,https://housing.com/in/buy/new-delhi/bharthal-gid/,yes,8884,9367,8595,8652,"[[""Apr'25-Jun'25"", 8884], [""July'25-Sept'25"", 8595], [""Oct'25-Dec'25"", 8652], [""Jan'26-Mar'26"", 9367]]"
locality,New Delhi,buy,Pochanpur Colony,Apartment,"₹9,883","₹9,075","₹10,967",3,https://housing.com/in/buy/new-delhi/pochanpur-colony-gid/,yes,,9883,12713,11529,"[[""July'25-Sept'25"", 12713], [""Oct'25-Dec'25"", 11529], [""Jan'26-Mar'26"", 9883]]"
