record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,New Delhi,rent,Kishangarh,2 BHK,"₹29,000","₹22,000","₹37,000",6,https://housing.com/rent/flats-for-rent-in-kishangarh-new-delhi-P2yuacuv3dh21ddzy,yes,26750,29000,22875,21999,"[[""Apr'25-Jun'25"", 26750], [""July'25-Sept'25"", 22875], [""Oct'25-Dec'25"", 21999], [""Jan'26-Mar'26"", 29000]]"
locality,New Delhi,rent,Kalkaji Extension,2 BHK,"₹38,166","₹13,000","₹70,000",6,https://housing.com/rent/flats-for-rent-in-kalkaji-extension-new-delhi-P5n8ijjkq4m4w5aa0,yes,26875,38166,30000,36250,"[[""Apr'25-Jun'25"", 26875], [""July'25-Sept'25"", 30000], [""Oct'25-Dec'25"", 36250], [""Jan'26-Mar'26"", 38166]]"
locality,New Delhi,rent,Sector 17 Rohini,2 BHK,"₹18,500","₹12,000","₹27,000",6,https://housing.com/rent/flats-for-rent-in-sector-17-rohini-new-delhi-P4yb33svy14vvknbz,yes,18777,18500,20779,20041,"[[""Apr'25-Jun'25"", 18777], [""July'25-Sept'25"", 20779], [""Oct'25-Dec'25"", 20041], [""Jan'26-Mar'26"", 18500]]"
locality,New Delhi,rent,Moti Nagar,2 BHK,"₹64,583","₹18,500",₹1 Lakh,6,https://housing.com/rent/flats-for-rent-in-moti-nagar-new-delhi-Pev8cwqi7vkd0suq,no,,,,,null
locality,New Delhi,rent,Safdarjung Development Area,2 BHK,"₹67,333","₹45,000","₹100,000",6,https://housing.com/rent/flats-for-rent-in-safdarjung-development-area-new-delhi-P4vi4sj16iaj8naow,yes,68750,67333,70000,76159,"[[""Apr'25-Jun'25"", 68750], [""July'25-Sept'25"", 70000], [""Oct'25-Dec'25"", 76159], [""Jan'26-Mar'26"", 67333]]"
locality,New Delhi,rent,Sector 15 Rohini,2 BHK,"₹24,250","₹15,000","₹35,000",6,https://housing.com/rent/flats-for-rent-in-sector-15-rohini-new-delhi-Pjfd1rj6gtltqsz9,yes,22538,24250,21499,23530,"[[""Apr'25-Jun'25"", 22538], [""July'25-Sept'25"", 21499], [""Oct'25-Dec'25"", 23530], [""Jan'26-Mar'26"", 24250]]"
locality,New Delhi,rent,Garhi,2 BHK,"₹36,166","₹20,000","₹55,000",6,https://housing.com/rent/flats-for-rent-in-garhi-new-delhi-P1ghzydarac6ylnd4,yes,47142,36166,43666,37285,"[[""Apr'25-Jun'25"", 47142], [""July'25-Sept'25"", 43666], [""Oct'25-Dec'25"", 37285], [""Jan'26-Mar'26"", 36166]]"
locality,New Delhi,rent,Raja Garden,2 BHK,"₹31,083","₹26,000","₹34,000",6,https://housing.com/rent/flats-for-rent-in-raja-garden-new-delhi-P70f9f29izlvix5yx,yes,45000,31083,33833,31600,"[[""Apr'25-Jun'25"", 45000], [""July'25-Sept'25"", 33833], [""Oct'25-Dec'25"", 31600], [""Jan'26-Mar'26"", 31083]]"
locality,New Delhi,rent,Sector 13 Rohini,3 BHK,"₹39,428","₹32,000","₹52,000",7,https://housing.com/rent/flats-for-rent-in-sector-13-rohini-new-delhi-P4ioq58914q8b2xen,yes,40000,39428,43590,38100,"[[""Apr'25-Jun'25"", 40000], [""July'25-Sept'25"", 43590], [""Oct'25-Dec'25"", 38100], [""Jan'26-Mar'26"", 39428]]"
locality,New Delhi,rent,Swasthya Vihar,3 BHK,"₹55,856","₹40,000","₹76,000",7,https://housing.com/rent/flats-for-rent-in-swasthya-vihar-new-delhi-P4wi8a9yxzd6mbyjw,yes,54350,55856,47262,47532,"[[""Apr'25-Jun'25"", 54350], [""July'25-Sept'25"", 47262], [""Oct'25-Dec'25"", 47532], [""Jan'26-Mar'26"", 55856]]"
