record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
city_trend,Ahmedabad,buy,ALL,Apartment,"₹6,909",₹260,₹1 Lakh,9K,,,5452,5781,5581,5729,"[[""Apr'25-Jun'25"", 5452], [""July'25-Sept'25"", 5581], [""Oct'25-Dec'25"", 5729], [""Jan'26-Mar'26"", 5781]]"
city_trend,Ahmedabad,buy,ALL,Independent House,"₹6,909",₹260,₹1 Lakh,9K,,,10099,11076,10512,10429,"[[""Apr'25-Jun'25"", 10099], [""July'25-Sept'25"", 10512], [""Oct'25-Dec'25"", 10429], [""Jan'26-Mar'26"", 11076]]"
city_trend,Ahmedabad,buy,ALL,Villa,"₹6,909",₹260,₹1 Lakh,9K,,,14834,13621,13076,13245,"[[""Apr'25-Jun'25"", 14834], [""July'25-Sept'25"", 13076], [""Oct'25-Dec'25"", 13245], [""Jan'26-Mar'26"", 13621]]"
city_summary,Ahmedabad,buy,ALL,"OVERALL avg=₹6,909","₹6,909",₹260,₹1 Lakh,9K,,,,,,,
locality,Ahmedabad,buy,Shela,Apartment,"₹5,451","₹3,000","₹10,800",700,https://housing.com/in/buy/ahmedabad/shela-gid/,yes,5157,5451,5542,5490,"[[""Apr'25-Jun'25"", 5157], [""July'25-Sept'25"", 5542], [""Oct'25-Dec'25"", 5490], [""Jan'26-Mar'26"", 5451]]"
locality,Ahmedabad,buy,Chandkheda,Apartment,"₹4,974","₹2,909","₹12,931",583,https://housing.com/in/buy/ahmedabad/chandkheda-gid/,yes,4670,4974,4722,4923,"[[""Apr'25-Jun'25"", 4670], [""July'25-Sept'25"", 4722], [""Oct'25-Dec'25"", 4923], [""Jan'26-Mar'26"", 4974]]"
locality,Ahmedabad,buy,South Bopal,Apartment,"₹5,833","₹3,500","₹12,000",490,https://housing.com/in/buy/ahmedabad/south-bopal-gid/,yes,5462,5833,5497,5653,"[[""Apr'25-Jun'25"", 5462], [""July'25-Sept'25"", 5497], [""Oct'25-Dec'25"", 5653], [""Jan'26-Mar'26"", 5833]]"
locality,Ahmedabad,buy,Gota,Apartment,"₹5,731","₹2,777","₹10,222",483,https://housing.com/in/buy/ahmedabad/gota-gid/,yes,5492,5731,5673,5672,"[[""Apr'25-Jun'25"", 5492], [""July'25-Sept'25"", 5673], [""Oct'25-Dec'25"", 5672], [""Jan'26-Mar'26"", 5731]]"
locality,Ahmedabad,buy,Bopal,Apartment,"₹5,766","₹3,600","₹11,388",316,https://housing.com/in/buy/ahmedabad/bopal-gid/,yes,5378,5766,5464,5734,"[[""Apr'25-Jun'25"", 5378], [""July'25-Sept'25"", 5464], [""Oct'25-Dec'25"", 5734], [""Jan'26-Mar'26"", 5766]]"
locality,Ahmedabad,buy,Vaishno Devi Circle,Apartment,"₹5,390","₹2,941","₹10,402",310,https://housing.com/in/buy/ahmedabad/vaishno-devi-circle-gid/,yes,5238,5390,5486,5237,"[[""Apr'25-Jun'25"", 5238], [""July'25-Sept'25"", 5486], [""Oct'25-Dec'25"", 5237], [""Jan'26-Mar'26"", 5390]]"
