city_name,city_page_url,price_trend_url
mumbai,https://housing.com/in/buy/real-estate-mumbai,https://housing.com/price-trends/property-rates-for-buy-in-mumbai_india-Pskwz0ocdh7q42r5
bangalore,https://housing.com/in/buy/real-estate-bangalore,https://housing.com/price-trends/property-rates-for-buy-in-bangalore_karnataka-P38f9yfbk7p3m2h1f
hyderabad,https://housing.com/in/buy/real-estate-hyderabad,https://housing.com/price-trends/property-rates-for-buy-in-hyderabad_telangana-P679xe73u28050522
pune,https://housing.com/in/buy/real-estate-pune,https://housing.com/price-trends/property-rates-for-buy-in-pune_maharashtra-P2r4v3l939lxd541t
chennai,https://housing.com/in/buy/real-estate-chennai,https://housing.com/price-trends/property-rates-for-buy-in-chennai_india-P4bimjmco2m9afw0m
new_delhi,https://housing.com/in/buy/real-estate-new_delhi,https://housing.com/price-trends/property-rates-for-buy-in-new_delhi_india-P6xfqdsey6cc3d95h
gurgaon,https://housing.com/in/buy/real-estate-gurgaon,https://housing.com/price-trends/property-rates-for-buy-in-gurgaon_haryana-P1od1w26jrfqap1jl
noida,https://housing.com/in/buy/real-estate-noida,https://housing.com/price-trends/property-rates-for-buy-in-noida_uttar_pradesh-P2fqf0dypkiyhifgy
kolkata,https://housing.com/in/buy/real-estate-kolkata,https://housing.com/price-trends/property-rates-for-buy-in-kolkata_west_bengal-P40qcmycif4m431jo
ahmedabad,https://housing.com/in/buy/real-estate-ahmedabad,https://housing.com/price-trends/property-rates-for-buy-in-ahmedabad_gujarat-P4hkd3fsj8fd9kanb
thane,https://housing.com/in/buy/real-estate-thane,https://housing.com/price-trends/property-rates-for-buy-in-thane_maharashtra-Plqq7bm2s53fechd
navi_mumbai,https://housing.com/in/buy/real-estate-navi_mumbai,https://housing.com/price-trends/property-rates-for-buy-in-navi_mumbai_maharashtra-P1eij1jtclmvaoj9w
abohar,https://housing.com/in/buy/real-estate-abohar,https://housing.com/price-trends/property-rates-for-buy-in-abohar_punjab-P1jdnnuipvf693vd4
abu_dhabi,https://housing.com/in/buy/real-estate-abu_dhabi,https://housing.com/price-trends/property-rates-for-buy-in-abu_dhabi_united_arab_emirates-P5e9483y874k5fswh
adilabad,https://housing.com/in/buy/real-estate-adilabad,https://housing.com/price-trends/property-rates-for-buy-in-adilabad_telangana-P2pl7gvirj7by4a77
agarmalwa,https://housing.com/in/buy/real-estate-agarmalwa,https://housing.com/price-trends/property-rates-for-buy-in-agarmalwa_madhya_pradesh-P3v2nvxofzpmiw79p
agartala,https://housing.com/in/buy/real-estate-agartala,https://housing.com/price-trends/property-rates-for-buy-in-agartala_india-P1oi0il2dk0qqwap6
agra_uttar_pradesh,https://housing.com/in/buy/real-estate-agra_uttar_pradesh,https://housing.com/price-trends/property-rates-for-buy-in-agra_uttar_pradesh-P6u6xbqudnkj66lbd
ahmednagar,https://housing.com/in/buy/real-estate-ahmednagar,https://housing.com/price-trends/property-rates-for-buy-in-ahmednagar_maharashtra-Prmbfqbr5mb2pvli
aizawl,https://housing.com/in/buy/real-estate-aizawl,https://housing.com/price-trends/property-rates-for-buy-in-aizawl_mizoram-P6uezedo3wor79okp
ajman,https://housing.com/in/buy/real-estate-ajman,https://housing.com/price-trends/property-rates-for-buy-in-ajman_united_arab_emirates-P2w6t4wsljlkjy6pj
ajmer,https://housing.com/in/buy/real-estate-ajmer,https://housing.com/price-trends/property-rates-for-buy-in-ajmer_rajasthan-P8kaxzvc6m39dgdz
akola,https://housing.com/in/buy/real-estate-akola,https://housing.com/price-trends/property-rates-for-buy-in-akola_maharashtra-P1y7yhnoh4995txai
alappuzha,https://housing.com/in/buy/real-estate-alappuzha,https://housing.com/price-trends/property-rates-for-buy-in-alappuzha_kerala-Pxbxcrovm3cos9xz
alibag,https://housing.com/in/buy/real-estate-alibag,https://housing.com/price-trends/property-rates-for-buy-in-alibag_maharashtra-P37fws2uq5puygn52
aligarh,https://housing.com/in/buy/real-estate-aligarh,https://housing.com/price-trends/property-rates-for-buy-in-aligarh_uttar_pradesh-P3nrw9taj0uxjnrbe
alipurduar,https://housing.com/in/buy/real-estate-alipurduar,https://housing.com/price-trends/property-rates-for-buy-in-alipurduar_west_bengal-P1itboxkwx7rsuqei
alirajpur,https://housing.com/in/buy/real-estate-alirajpur,https://housing.com/price-trends/property-rates-for-buy-in-alirajpur_madhya_pradesh-P1i6cbvvbasq3ctsx
allahabad,https://housing.com/in/buy/real-estate-allahabad,https://housing.com/price-trends/property-rates-for-buy-in-allahabad_uttar_pradesh-P63ck6sd77slmfq3
almora_1,https://housing.com/in/buy/real-estate-almora_1,https://housing.com/price-trends/property-rates-for-buy-in-almora_uttarakhand-P4f6v2m4ec81vhs28
aluva,https://housing.com/in/buy/real-estate-aluva,https://housing.com/price-trends/property-rates-for-buy-in-aluva_kerala-P84j2i6e3e6bpbrt
alwar_rajasthan,https://housing.com/in/buy/real-estate-alwar_rajasthan,https://housing.com/price-trends/property-rates-for-buy-in-alwar_rajasthan-P4d9h7a5ttcs97awt
ambala,https://housing.com/in/buy/real-estate-ambala,https://housing.com/price-trends/property-rates-for-buy-in-ambala_haryana-P4nice696xik9omvx
ambedkar_nagar,https://housing.com/in/buy/real-estate-ambedkar_nagar,https://housing.com/price-trends/property-rates-for-buy-in-ambedkar_nagar_uttar_pradesh-Ph3avb1rgigs5vfe
amethi,https://housing.com/in/buy/real-estate-amethi,https://housing.com/price-trends/property-rates-for-buy-in-amethi_uttar_pradesh-P5eljbcprca7gxzg
amravati,https://housing.com/in/buy/real-estate-amravati,https://housing.com/price-trends/property-rates-for-buy-in-amravati_maharashtra-P5fq51oc997bcdgvc
