record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
city_trend,Agartala,buy,ALL,Apartment,"₹5,647",₹500,"₹16,666",22,,,5064,5325,5343,5385,"[[""Apr'25-Jun'25"", 5064], [""July'25-Sept'25"", 5343], [""Oct'25-Dec'25"", 5385], [""Jan'26-Mar'26"", 5325]]"
city_trend,Agartala,buy,ALL,Independent House,"₹5,647",₹500,"₹16,666",22,,,6413,4970,5383,5863,"[[""Apr'25-Jun'25"", 6413], [""July'25-Sept'25"", 5383], [""Oct'25-Dec'25"", 5863], [""Jan'26-Mar'26"", 4970]]"
city_trend,Agartala,buy,ALL,Villa,"₹5,647",₹500,"₹16,666",22,,,,37096,,37510,"[[""Oct'25-Dec'25"", 37510], [""Jan'26-Mar'26"", 37096]]"
city_summary,Agartala,buy,ALL,"OVERALL avg=₹5,647","₹5,647",₹500,"₹16,666",22,,,,,,,
locality,Agartala,buy,Battala,Apartment,"₹5,180","₹4,530","₹5,830",2,https://housing.com/in/buy/agartala/battala-gid/,yes,,5180,6008,5456,"[[""July'25-Sept'25"", 6008], [""Oct'25-Dec'25"", 5456], [""Jan'26-Mar'26"", 5180]]"
locality,Agartala,buy,Hapania,Apartment,"₹6,073","₹4,455","₹7,692",2,https://housing.com/in/buy/agartala/hapania-gid/,no,,,,,null
locality,Agartala,buy,Madhupur,Apartment,"₹6,073","₹4,455","₹7,692",2,https://housing.com/in/buy/agartala/madhupur-gid/,no,,,,,null
locality,Agartala,buy,Jay Nagar,Apartment,"₹5,180","₹4,530","₹5,830",2,https://housing.com/in/buy/agartala/jay-nagar-gid/,no,,,,,null
locality,Agartala,buy,Bhubanban,Apartment,"₹3,568","₹3,568","₹3,568",1,https://housing.com/in/buy/agartala/bhubanban-gid/,no,,,,,null
locality,Agartala,buy,Ramnagar Part,Apartment,"₹4,939","₹4,939","₹4,939",1,https://housing.com/in/buy/agartala/ramnagar-part-gid/,yes,,4939,4939,4939,"[[""July'25-Sept'25"", 4939], [""Oct'25-Dec'25"", 4939], [""Jan'26-Mar'26"", 4939]]"
locality,Agartala,buy,Dhaleswar,Apartment,"₹5,818","₹5,818","₹5,818",1,https://housing.com/in/buy/agartala/dhaleswar-gid/,yes,5040,5818,4885,5118,"[[""Apr'25-Jun'25"", 5040], [""July'25-Sept'25"", 4885], [""Oct'25-Dec'25"", 5118], [""Jan'26-Mar'26"", 5818]]"
locality,Agartala,buy,Durjaynagar,Apartment,"₹5,606","₹5,606","₹5,606",1,https://housing.com/in/buy/agartala/durjaynagar-gid/,yes,,5606,5606,5606,"[[""July'25-Sept'25"", 5606], [""Oct'25-Dec'25"", 5606], [""Jan'26-Mar'26"", 5606]]"
locality,Agartala,buy,Ram Nagar,Apartment,"₹5,500","₹5,500","₹5,500",1,https://housing.com/in/buy/agartala/ram-nagar-gid/,yes,5478,5500,5483,5487,"[[""Apr'25-Jun'25"", 5478], [""July'25-Sept'25"", 5483], [""Oct'25-Dec'25"", 5487], [""Jan'26-Mar'26"", 5500]]"
locality,Agartala,buy,Dhaleswar,Independent House,"₹8,279","₹7,058","₹9,500",2,https://housing.com/in/buy/agartala/dhaleswar-gid/,no,,,,,null
locality,Agartala,buy,Krishna Nagar,Independent House,"₹5,651","₹4,398","₹7,000",2,https://housing.com/in/buy/agartala/krishna-nagar-gid/,yes,,5651,4583,5603,"[[""July'25-Sept'25"", 4583], [""Oct'25-Dec'25"", 5603], [""Jan'26-Mar'26"", 5651]]"
locality,Agartala,buy,79 Tilla,Independent House,"₹3,468","₹2,893","₹4,166",2,https://housing.com/in/buy/agartala/79-tilla-gid/,yes,,3468,,3408,"[[""Oct'25-Dec'25"", 3408], [""Jan'26-Mar'26"", 3468]]"
locality,Agartala,buy,Madhupur,Independent House,"₹5,972","₹6,250","₹6,250",1,https://housing.com/in/buy/agartala/madhupur-gid/,yes,6882,5972,6301,5900,"[[""Apr'25-Jun'25"", 6882], [""July'25-Sept'25"", 6301], [""Oct'25-Dec'25"", 5900], [""Jan'26-Mar'26"", 5972]]"
locality,Agartala,buy,Ram Nagar,Independent House,"₹5,000","₹5,000","₹5,000",1,https://housing.com/in/buy/agartala/ram-nagar-gid/,no,,,,,null
locality,Agartala,buy,Bhubanban,Independent House,"₹1,790",₹500,₹500,1,https://housing.com/in/buy/agartala/bhubanban-gid/,no,,,,,null
locality,Agartala,buy,Battala,Independent House,"₹6,206","₹6,206","₹6,206",1,https://housing.com/in/buy/agartala/battala-gid/,no,,,,,null
locality,Agartala,buy,Hapania,Independent House,"₹5,972","₹6,250","₹6,250",1,https://housing.com/in/buy/agartala/hapania-gid/,yes,,5972,,4667,"[[""Oct'25-Dec'25"", 4667], [""Jan'26-Mar'26"", 5972]]"
locality,Agartala,buy,Jay Nagar,Independent House,"₹6,206","₹6,206","₹6,206",1,https://housing.com/in/buy/agartala/jay-nagar-gid/,no,,,,,null
locality,Agartala,buy,Nutan Nagar,Independent House,"₹2,250","₹2,250","₹2,250",1,https://housing.com/in/buy/agartala/nutan-nagar-gid/,no,,,,,null
locality,Agartala,buy,Pratapgarh,Independent House,"₹3,257","₹4,427","₹4,427",1,https://housing.com/in/buy/agartala/pratapgarh-gid/,no,,,,,null
locality,Agartala,buy,Arundhauti Nagar,Villa,"₹16,666","₹16,666","₹16,666",1,https://housing.com/in/buy/agartala/arundhauti-nagar-gid/,no,,,,,null
locality,Agartala,buy,Badharghat,Villa,"₹16,666","₹16,666","₹16,666",1,https://housing.com/in/buy/agartala/badharghat-gid/,no,,,,,null
city_trend,Agartala,rent,ALL,1 BHK,"₹11,964","₹4,500","₹30,000",28,,,9105,9166,9791,8577,"[[""Apr'25-Jun'25"", 9105], [""July'25-Sept'25"", 9791], [""Oct'25-Dec'25"", 8577], [""Jan'26-Mar'26"", 9166]]"
city_trend,Agartala,rent,ALL,2 BHK,"₹11,964","₹4,500","₹30,000",28,,,10467,11911,9723,11593,"[[""Apr'25-Jun'25"", 10467], [""July'25-Sept'25"", 9723], [""Oct'25-Dec'25"", 11593], [""Jan'26-Mar'26"", 11911]]"
city_trend,Agartala,rent,ALL,3 BHK,"₹11,964","₹4,500","₹30,000",28,,,18750,21714,16344,17333,"[[""Apr'25-Jun'25"", 18750], [""July'25-Sept'25"", 16344], [""Oct'25-Dec'25"", 17333], [""Jan'26-Mar'26"", 21714]]"
city_summary,Agartala,rent,ALL,"OVERALL avg=₹11,964","₹11,964","₹4,500","₹30,000",28,,,,,,,
locality,Agartala,rent,Dhaleswar,1 BHK,"₹6,333","₹5,000","₹7,500",3,https://housing.com/rent/flats-for-rent-in-dhaleswar-agartala-P4odo7mqis24boxmh,yes,6500,6333,6550,6142,"[[""Apr'25-Jun'25"", 6500], [""July'25-Sept'25"", 6550], [""Oct'25-Dec'25"", 6142], [""Jan'26-Mar'26"", 6333]]"
locality,Agartala,rent,Arundhauti Nagar,1 BHK,"₹4,833","₹5,000","₹5,000",1,https://housing.com/rent/flats-for-rent-in-arundhauti-nagar-agartala-P64dm0jvcs2ftb0lg,yes,8500,4833,6500,4625,"[[""Apr'25-Jun'25"", 8500], [""July'25-Sept'25"", 6500], [""Oct'25-Dec'25"", 4625], [""Jan'26-Mar'26"", 4833]]"
locality,Agartala,rent,Hapania,1 BHK,"₹4,500","₹4,500","₹4,500",1,https://housing.com/rent/flats-for-rent-in-hapania-agartala-P2sayq9dy6ic9zghn,yes,3666,4500,4333,4750,"[[""Apr'25-Jun'25"", 3666], [""July'25-Sept'25"", 4333], [""Oct'25-Dec'25"", 4750], [""Jan'26-Mar'26"", 4500]]"
locality,Agartala,rent,Krishna Nagar,1 BHK,"₹23,500","₹28,000","₹28,000",1,https://housing.com/rent/flats-for-rent-in-krishna-nagar-agartala-P451d70kf6cwvpsk3,no,,,,,null
